"GenSp","mass_g"
"Cis signatus",2.49939465931187
"Cis signatus",2.54455987621863
"Cis signatus",3.04580118896841
"Cis signatus",2.47170204652021
"Cis signatus",3.42759392881004
"Cis signatus",2.5206759722628
"Acanthia procellaris",1.05621014636726
"Acanthia procellaris",1.32688287269882
"Acanthia procellaris",1.32860950171727
"Acanthia procellaris",0.9028210617601
"Acanthia procellaris",1.20390107209234
"Acanthia procellaris",0.731870520545833
"Spolas solitaria",3.31761725826895
"Spolas solitari",3.07882933155382
"Spolas solitaria",3.37248638198587
"Spolas solitaria",3.0752007803439
"Spolas solitaria",1.80997184952415
"Spolas solitaria",3.45503969401153
"Laupala pruna",0.0407092253508491
"Laupala pruna",0.0536359754723192
"Laupala pruna",0.0475407967926189
"Laupala pruna",0.0594755189492006
"Laupala pruna",0.0670235068154542
"Laupala pruna",0.0472038705645242
"Toxeuma hawaiiensis",2.41946675436059
"Toxeuma hawaiiensis",2.02224071358405
"Toxeuma hawaiiensis",1.70664508376229
"Toxeuma hawaiiensis",2.0124936612077
"Toxeuma hawaiiensis",2.39513304021095
"Toxeuma hawaiiensis",2.45313184548838
"Chrysotus parthenus",2.20854036923782
"Chrysotus parthenus",1.64670991349214
"Chrysotus parthenus",1.42084966637307
"Chrysotus parthenus",1.64503084261054
"Chrysotus parthenus",1.74703284422089
"Chrysotus parthenus",1.93488062380149
"Metrothorax deverilli",11.8022007705556
"Metrothorax deverilli",12.1191297268942
"Metrothorax deverilli",11.2694945538901
"Metrothorax deverilli",5.39268040933104
"Metrothorax deverilli",6.74061140317751
"Metrothorax deverilli",9.31202333942916
"Drosophila obscuricorni",2.13194027384406
"Drosophila obscuricornis",1.96319892047169
"Drosophila obscuricornis",2.16656591707029
"Drosophila obscuricornis",3.02627957004573
"Drosophila obscuricornis",2.93160947127425
"Drosophila obscuricornis",3.48823975894261
"Cis bimaculatus",2.27514400729979
"Cis bimaculatu",1.64135151850242
"Cis bimaculatus",3.40487422375839
"Cis bimaculatus",1.88498318486218
"Cis bimaculatus",2.36681747077769
"Cis bimaculatus",2.27223849129418
"Nysius lichenicola",0.400812106119566
"Nysius lichenicola",0.27799684720549
"Nysius lichenicola",0.251580961576256
"Nysius lichenicola",0.425583138263153
"Nysius lichenicola",0.330576312535501
"Nysius lichenicola",0.229218507584831
"Agonismus argentiferus",3.92826632204676
"Agonismus argentiferus",6.18459332508223
"Agonismus argentiferus",5.37673557619346
"Agonismus argentiferus",4.31192099524088
"Agonismus argentiferus",6.34476507085368
"Agonismus argentiferus",5.72294127311025
"Agrotis chersotoides",0.335305248646548
"Agrotis chersotoides",0.468591285988258
"Agrotis chersotoides",0.284546621166254
"Agrotis chersotoides",0.347348709184218
"Agrotis chersotoides",0.491179426191314
"Agrotis chersotoides",0.318214870294919
"Scaptomyza villosa",22.211302734995
"Scaptomyza villosa",14.1121263830927
"Scaptomyza villosa",14.3398345497662
"Scaptomyza villosa",19.8284208819836
"Scaptomyza villosa",13.5379255971855
"Scaptomyza villosa",10.2794555256824
"Lispocephala dentata",7.00141147661873
"Lispocephala dentata",9.37870737436307
"Lispocephala dentata",8.64849240658759
"Lispocephala dentata",8.84857601781982
"Lispocephala dentata",14.2070274341965
"Lispocephala dentata",13.8382607293232
"Hylaeus facilis",14.9966761260432
"Hylaeus facilis",14.8223107235345
"Hylaeus facilis",9.63920623093677
"Hylaeus facilis",20.2985601630304
"Hylaeus facilis",14.1428609430801
"Hylaeus facilis",10.2019781988548
"Laupala vespertina",0.364157235992287
"Laupala vespertina",0.384022280621909
"Laupala vespertina",0.355914441662588
"Laupala vespertina",0.288132044417618
"Laupala vespertina",0.198806230885289
"Laupala vespertina",0.180741885958305
"Proterhinus punctipennis",0.980832968358801
"Proterhinus punctipennis",0.731849057387317
"Proterhinus punctipennis",0.606442163813529
"Proterhinus punctipennis",0.555678809681702
"Proterhinus punctipennis",0.857166798906055
"Proterhinus punctipennis",0.525390171672964
"Nesomicromus haleakalae",0.0357989960456925
"Nesomicromus haleakalae",0.0362901489239195
"Nesomicromus haleakalae",0.0261688939449245
"Nesomicromus haleakalae",0.0311902087944421
"Nesomicromus haleakalae",0.0372898480827357
"Nesomicromus haleakalae",0.0310524679420343
"Odynerus erythrostactes",0.742978157742027
"Odynerus erythrostactes",0.519458487263964
"Odynerus erythrostactes",0.633278594829778
"Odynerus erythrostactes",0.85154901106194
"Odynerus erythrostactes",0.604814351611315
"Odynerus erythrostactes",1.0466871874566
"Eurynogaster vittata",4.23967697823724
"Eurynogaster vittata",2.44580485912323
"Eurynogaster vittata",2.88663851289605
"Eurynogaster vittat",2.87642852228514
"Eurynogaster vittata",2.55000722600818
"Eurynogaster vittata",2.7264281462871
"Elmoia lanceolata",0.225430213950235
"Elmoia lanceolata",0.184395642443282
"Elmoia lanceolata",0.332352521972277
"Elmoia lanceolata",0.278134803967511
"Elmoia lanceolata",0.204987779673069
"Elmoia lanceolata",0.246680647485411
"Xyletobius collingei",93.8198553024165
"Xyletobius collingei",52.7418074841399
"Xyletobius collingei",84.2920025634812
"Xyletobius collingei",59.9600373641626
"Xyletobius collingei",73.1988484967808
"Xyletobius collingei",54.784597130701
"Nesodynerus mimus",0.817264759056993
"Nesodynerus mimus",0.715203631804343
"Nesodynerus mimus",1.45301327506765
"Nesodynerus mimus",2.00410574938682
"Nesodynerus mimus",1.65668758873861
"Nesodynerus mimus",0.974666495744224
"Scaptomyza vagabunda",8.63034150981453
"Scaptomyza vagabunda",14.0360877642843
"Scaptomyza vagabunda",6.19507044886951
"Scaptomyza vagabunda",8.90801812692766
"Scaptomyza vagabunda",9.72143163210087
"Scaptomyza vagabunda",6.74569444454668
"Lucilia graphita",76.9776912890532
"Lucilia graphita",58.0243514716762
"Lucilia graphita",70.4447888677808
"Lucilia graphita",47.8334883525274
"Lucilia graphita",53.5537098948775
"Lucilia graphita",55.8571081781396
"Eudonia lycopodiae",2.36588570208198
"Eudonia lycopodiae",2.42913725027816
"Eudonia lycopodiae",1.3930684717464
"Eudonia lycopodiae",2.15307931864222
"Eudonia lycopodiae",1.84102528408241
"Eudonia lycopodiae",2.01953209477117
"Atelothrus depressus",0.373223035510342
"Atelothrus depressus",0.497531269832605
"Atelothrus depressu",0.752309956263596
"Atelothrus depressus",0.551457511563933
"Atelothrus depressus",0.544428337637483
"Atelothrus depressus",0.455439491895274
"Mecyclothorax longulus",4.69516653877839
"Mecyclothorax longulus",3.61927501170007
"Mecyclothorax longulus",3.72268580508013
"Mecyclothorax longulus",2.95985940142025
"Mecyclothorax longulus",4.81278114630917
"Mecyclothorax longulus",3.60285363513299
"Hylaeus sphecodoides",178.135181734961
"Hylaeus sphecodoide",130.240229678883
"Hylaeus sphecodoides",135.031454812439
"Hylaeus sphecodoides",139.272311837642
"Hylaeus sphecodoides",118.057078301156
"Hylaeus sphecodoides",81.5039185256982
